19/05/2025     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          77199171          P          05          25
          77214112          P          05          25
          77214484          P          05          25
          77215862          P          05          25
          77217822          P          05          25
          77219104          P          05          25
          77221622          P          05          25
          77223904          P          05          25
          77227911          P          05          25
          77228713          P          05          25
          77230074          P          05          25
          77230574          P          05          25
          77230642          P          05          25
          77233085          P          05          25
          77234332          P          05          25
          77235435          P          05          25
          77235443          P          05          25
          77236151          P          05          25
          77236512          P          05          25
          77236614          P          05          25
          77239565          P          05          25
          77240702          P          05          25
          77244154          P          05          25
          77245715          P          05          25
          77245854          P          05          25
          77246533          P          05          25
          77250582          P          05          25
          77252851          P          05          25
          77253051          P          05          25
          77253653          P          05          25
          77255493          P          05          25
          77264714          P          05          25
          77265192          P          05          25
          77265443          P          05          25
          77265804          P          05          25
          77266643          P          05          25
          77267924          P          05          25
          77268441          P          05          25
          77268572          P          05          25
          77269052          P          05          25
          77269154          P          05          25
          77270613          P          05          25
          77271114          P          05          25
          77273454          P          05          25
          77275993          P          05          25
          77276151          P          05          25
          77276591          P          05          25
          77279272          P          05          25
          77280231          P          05          25
          77280503          P          05          25
          77281465          P          05          25
          77282615          P          05          25
          77283103          P          05          25
          77283852          P          05          25
          77285804          P          05          25
          77286512          P          05          25
          77288491          P          05          25
          77289803          P          05          25
          77290095          P          05          25
          77291635          P          05          25
          77292343          P          05          25
          77293323          P          05          25
          77294031          P          05          25
          77294073          P          05          25
          77294573          P          05          25
          77294921          P          05          25
          77295171          P          05          25
          77296635          P          05          25
          77317664          P          05          25
          78197755          P          05          25
          81142624          P          05          25
          81142742          P          05          25
          81146725          P          05          25
          82004753          P          05          25
          82007722          P          05          25
          82011242          P          05          25
          84034402          P          05          25
          84035791          P          05          25
          84036394          P          05          25
          84037094          P          05          25
          84038794          P          05          25
          84038804          P          05          25
          84038891          P          05          25
          84039703          P          05          25
          84040204          P          05          25
          84041205          P          05          25
          85001344          P          05          25
          85001784          P          05          25
          85001823          P          05          25
          85002811          P          05          25
          85003231          P          05          25
          86000631          P          05          25
          86001873          P          05          25
          86002434          P          05          25
          86002502          P          05          25
          99002662          P          05          25
          99072374          P          05          25
          99072382          P          05          25
          99096564          P          05          25
          99097073          P          05          25
          99097104          P          05          25
          99126364          P          05          25
          99151822          P          05          25
          99152001          P          05          25
          01020903          C          05          25
          01024062          C          05          25
          01025555          C          05          25
          02012502          C          05          25
          05200074          C          05          25
          05200113          C          05          25
          05200163          C          05          25
          06001205          C          05          25
          09000212          C          05          25
          09000822          C          05          25
          09004232          C          05          25
          13011001          C          05          25
          13011051          C          05          25
          15028281          C          05          25
          15029172          C          05          25
          15032374          C          05          25
          15032581          C          05          25
          15035974          C          05          25
          18030602          C          05          25
          35000275          C          05          25
          35000534          C          05          25
          35000665          C          05          25
          35000835          C          05          25
          35002895          C          05          25
          35008074          C          05          25
          35008171          C          05          25
          35009664          C          05          25
          37003375          C          05          25
          37003773          C          05          25
          37004774          C          05          25
          37006174          C          05          25
          37007175          C          05          25
          37007484          C          05          25
          37008184          C          05          25
          37008684          C          05          25
          37012604          C          05          25
          37015704          C          05          25
          37017112          C          05          25
          37028294          C          05          25
          40011771          C          05          25
          40011831          C          05          25
          40012002          C          05          25
          41008121          C          05          25
          41010123          C          05          25
          41013825          C          05          25
          42002044          C          05          25
          47150083          C          05          25
          51011205          C          05          25
          51011501          C          05          25
          52006713          C          05          25
          52006844          C          05          25
          52007845          C          05          25
          64005681          C          05          25
          64005982          C          05          25
          64008464          C          05          25
          64008503          C          05          25
          64008613          C          05          25
          64009813          C          05          25
          64009834          C          05          25
          64009855          C          05          25
          64009981          C          05          25
          64010123          C          05          25
          64010283          C          05          25
          64056705          C          05          25
          64057002          C          05          25
          66014245          C          05          25
          66017573          C          05          25
          67004261          C          05          25
          67004575          C          05          25
          68008493          C          05          25
          68008891          C          05          25
          70315751          C          05          25
          70316451          C          05          25
          70320175          C          05          25
          71008692          C          05          25
          71016491          C          05          25
          71016695          C          05          25
          73007811          C          05          25
          73009724          C          05          25
          73010173          C          05          25
          73012691          C          05          25
          73012785          C          05          25
          73012853          C          05          25
          75298844          C          05          25
          75299612          C          05          25
          75304111          C          05          25
          75304205          C          05          25
          75304611          C          05          25
          75306003          C          05          25
          75306401          C          05          25
          76217945          C          05          25
          76227351          C          05          25
          76237563          C          05          25
          76250443          C          05          25
          76255841          C          05          25
          76265781          C          05          25
          76292673          C          05          25
          76304483          C          05          25
          77040283          C          05          25
          77231965          C          05          25
          77264544          C          05          25
          77282364          C          05          25
          77297872          C          05          25
          77316231          C          05          25
          77317075          C          05          25
          77317371          C          05          25
          77318814          C          05          25
          77319852          C          05          25
          77320793          C          05          25
          77321362          C          05          25
          77321485          C          05          25
          77322224          C          05          25
          77323152          C          05          25
          77323393          C          05          25
          77323453          C          05          25
          77323885          C          05          25
          77324221          C          05          25
          77325382          C          05          25
          77325913          C          05          25
          77327122          C          05          25
          77327782          C          05          25
          77328115          C          05          25
          77328283          C          05          25
          77328291          C          05          25
          77328314          C          05          25
          77328911          C          05          25
          77329802          C          05          25
          77330285          C          05          25
          77332583          C          05          25
          77335701          C          05          25
          77336113          C          05          25
          77336401          C          05          25
          77338115          C          05          25
          77338903          C          05          25
          77341715          C          05          25
          81146704          C          05          25
          82012421          C          05          25
          82012675          C          05          25
          85002332          C          05          25
          85003731          C          05          25
          86002714          C          05          25
          86002751          C          05          25
          88005385          C          05          25
          91006983          C          05          25
          95010005          C          05          25
          99158324          C          05          25
          99158544          C          05          25






         TOTAL DE REGISTROS:      1016


          Planta Contratada:       292


          Planta Permanente:       724


