18/07/2024     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          67003215          P          07          24
          67004371          C          07          24
          67003854          P          07          24
          67004172          P          07          24
          67004261          C          07          24
          15021111          P          07          24
          66010482          P          07          24
          76187705          P          07          24
          76217424          P          07          24
          76185821          P          07          24
          37003812          P          07          24
          76216685          P          07          24
          76215744          P          07          24
          81147331          P          07          24
          76228483          P          07          24
          76185834          P          07          24
          76260781          C          07          24
          77194493          P          07          24
          76186131          P          07          24
          73006153          P          07          24
          75302724          C          07          24
          76304792          P          07          24
          77323733          C          07          24
          75301702          C          07          24
          81147072          P          07          24
          81004172          P          07          24
          76236164          P          07          24
          77263695          P          07          24
          76170761          P          07          24
          75300905          P          07          24
          04040584          P          07          24
          04040835          P          07          24
          04040631          P          07          24
          75245532          P          07          24
          04040521          P          07          24
          75284934          P          07          24
          75304404          C          07          24
          77272152          P          07          24
          76170444          P          07          24
          75245464          P          07          24
          81147195          P          07          24
          76242945          P          07          24
          76221012          P          07          24
          70324043          C          07          24
          77267924          P          07          24
          77295231          C          07          24
          76226282          P          07          24
          76227262          C          07          24
          78196445          P          07          24
          74029512          P          07          24
          76255634          C          07          24
          75123434          P          07          24
          76233624          P          07          24
          76242102          P          07          24
          74030791          P          07          24
          76254845          C          07          24
          76303681          P          07          24
          76292673          C          07          24
          77243153          P          07          24
          75299934          C          07          24
          75306312          P          07          24
          75103104          P          07          24
          75220891          P          07          24
          77181424          P          07          24
          75258894          P          07          24
          77264081          P          07          24
          75258195          P          07          24
          77223823          P          07          24
          77181403          P          07          24
          77264272          P          07          24
          76170504          P          07          24
          77217131          P          07          24
          77224293          P          07          24
          77330714          C          07          24
          77183175          P          07          24
          81147093          P          07          24
          77325382          C          07          24
          77049533          P          07          24
          77266025          P          07          24
          77198141          P          07          24
          77287733          P          07          24
          70247945          P          07          24
          75230192          P          07          24
          77229154          P          07          24
          77268713          P          07          24
          74030681          P          07          24
          77217474          P          07          24
          77241004          P          07          24
          77292911          P          07          24
          77181453          P          07          24
          75281004          P          07          24
          15015615          P          07          24
          37008215          P          07          24
          75242584          P          07          24
          77328291          C          07          24
          77220003          P          07          24
          77267241          P          07          24
          76256342          P          07          24
          76170774          P          07          24
          76225854          C          07          24
          78190012          P          07          24
          77218593          P          07          24
          78197072          P          07          24
          77252851          P          07          24
          77317415          C          07          24
          75298802          P          07          24
          75300395          P          07          24
          77332583          C          07          24
          77324153          C          07          24
          77244303          P          07          24
          75214523          P          07          24
          77198874          P          07          24
          42002015          C          07          24
          77228624          P          07          24
          40012015          C          07          24
          81146694          C          07          24
          75198654          P          07          24
          77318872          C          07          24
          77330515          C          07          24
          77321383          C          07          24
          77219324          P          07          24
          77043943          P          07          24
          77331901          C          07          24
          77328283          C          07          24
          77328314          C          07          24
          77327795          C          07          24
          77327805          C          07          24
          77107263          P          07          24
          77218315          P          07          24
          77230833          P          07          24
          77266622          P          07          24
          85002722          C          07          24
          77234065          P          07          24
          05200192          C          07          24
          05200074          C          07          24
          76173573          P          07          24
          76208585          P          07          24
          77278572          P          07          24
          77325112          C          07          24
          77332614          C          07          24
          73205341          P          07          24
          73008281          P          07          24
          73008252          P          07          24
          73004614          P          07          24
          73011072          P          07          24
          73003304          P          07          24
          73010173          C          07          24
          73006051          P          07          24
          41013621          C          07          24
          76233352          P          07          24
          73001823          P          07          24
          73009295          P          07          24
          50002515          P          07          24
          85002332          C          07          24
          85005225          C          07          24
          85001881          P          07          24
          74025924          P          07          24
          81142802          P          07          24
          41000754          P          07          24
          41008621          P          07          24
          41008202          P          07          24
          41007015          P          07          24
          41012523          P          07          24
          41013825          C          07          24
          41011624          P          07          24
          41013325          P          07          24
          41013422          P          07          24
          73008773          P          07          24
          41014305          P          07          24
          50005851          P          07          24
          41003435          P          07          24
          50007191          C          07          24
          76197705          P          07          24
          68002492          P          07          24
          68001043          P          07          24
          68003891          P          07          24
          68006585          P          07          24
          70293721          P          07          24
          77199231          P          07          24
          76216004          P          07          24
          16004004          P          07          24
          77074583          P          07          24
          77290692          P          07          24
          77322724          C          07          24
          77295414          P          07          24
          77332512          C          07          24
          77331914          C          07          24
          11000301          P          07          24
          77265325          P          07          24
          77233771          P          07          24
          15033231          P          07          24
          15023273          P          07          24
          15027531          P          07          24
          15028875          C          07          24
          15024944          P          07          24
          77333115          C          07          24
          15031064          C          07          24
          15027942          P          07          24
          15020885          P          07          24
          15028642          P          07          24
          15028943          P          07          24
          15032374          C          07          24
          15011205          P          07          24
          15029855          P          07          24
          15020262          P          07          24
          15021695          P          07          24
          15023294          P          07          24
          77239303          P          07          24
          77032175          P          07          24
          77323505          C          07          24
          77199024          P          07          24
          77239361          P          07          24
          77319124          C          07          24
          77326595          C          07          24
          77325905          C          07          24
          77332091          C          07          24
          77103743          P          07          24
          77330905          C          07          24
          77274044          P          07          24
          77330081          C          07          24
          15029172          C          07          24
          15029892          C          07          24
          77325913          C          07          24
          15901125          C          07          24
          15035453          P          07          24
          15028281          C          07          24
          15030631          P          07          24
          77196835          P          07          24
          15023354          P          07          24
          15032581          C          07          24
          15034211          P          07          24
          15027921          P          07          24
          77213852          P          07          24
          15033383          C          07          24
